Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0119~Carbohydrate metabolism	10	1.0604453870625663	0.004144324237115761	ENSMUSG00000029136, ENSMUSG00000040809, ENSMUSG00000022490, ENSMUSG00000055493, ENSMUSG00000031295, ENSMUSG00000028980, ENSMUSG00000028671, ENSMUSG00000046020, ENSMUSG00000036820, ENSMUSG00000062778	356	67	7474	3.133489854100285	0.3745486561492951	0.2625535329987177	0.2625535329987177
UP_KW_BIOLOGICAL_PROCESS	KW-0716~Sensory transduction	9	0.9544008483563097	0.012373677936541797	ENSMUSG00000093884, ENSMUSG00000025900, ENSMUSG00000021007, ENSMUSG00000043366, ENSMUSG00000026609, ENSMUSG00000060890, ENSMUSG00000024575, ENSMUSG00000028125, ENSMUSG00000094891	356	66	7474	2.862870275791624	0.7551105101808797	0.46607520227640764	0.46607520227640764
KEGG_PATHWAY	mmu05033:Nicotine addiction	6	0.6362672322375398	0.01467379717184873	ENSMUSG00000001260, ENSMUSG00000020436, ENSMUSG00000029054, ENSMUSG00000025892, ENSMUSG00000030525, ENSMUSG00000002771	277	32	5973	4.043095667870036	0.9847542392322816	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0469~Meiosis	9	0.9544008483563097	0.01727765828891304	ENSMUSG00000032221, ENSMUSG00000036196, ENSMUSG00000036817, ENSMUSG00000009670, ENSMUSG00000071691, ENSMUSG00000024033, ENSMUSG00000024155, ENSMUSG00000008129, ENSMUSG00000024786	356	70	7474	2.699277688603531	0.8604648097254841	0.4880938466617934	0.4880938466617934
UP_KW_MOLECULAR_FUNCTION	KW-0511~Multifunctional enzyme	9	0.9544008483563097	0.02123538017577859	ENSMUSG00000034206, ENSMUSG00000025271, ENSMUSG00000031583, ENSMUSG00000028980, ENSMUSG00000034371, ENSMUSG00000062410, ENSMUSG00000027971, ENSMUSG00000063730, ENSMUSG00000070327	395	67	7635	2.596448139051578	0.81652254302375	0.28313840234371457	0.27252071225582525
UP_KW_MOLECULAR_FUNCTION	KW-0720~Serine protease	8	0.8483563096500532	0.02636611301511453	ENSMUSG00000022622, ENSMUSG00000000392, ENSMUSG00000044254, ENSMUSG00000049013, ENSMUSG00000109764, ENSMUSG00000020131, ENSMUSG00000027978, ENSMUSG00000032091	395	57	7635	2.7128580946035976	0.8788680258541368	0.3013270058870232	0.29002724316625983
KEGG_PATHWAY	mmu04740:Olfactory transduction	7	0.7423117709437964	0.026553049646048654	ENSMUSG00000093884, ENSMUSG00000021820, ENSMUSG00000043366, ENSMUSG00000110008, ENSMUSG00000038115, ENSMUSG00000094891, ENSMUSG00000059173	277	50	5973	3.01884476534296	0.9995075322963487	1.0	1.0
KEGG_PATHWAY	mmu04913:Ovarian steroidogenesis	6	0.6362672322375398	0.02924651410751096	ENSMUSG00000066097, ENSMUSG00000090817, ENSMUSG00000032937, ENSMUSG00000062410, ENSMUSG00000032193, ENSMUSG00000063730	277	38	5973	3.4047121413642407	0.9997751798040321	1.0	1.0
KEGG_PATHWAY	mmu04974:Protein digestion and absorption	8	0.8483563096500532	0.03161564086103194	ENSMUSG00000020600, ENSMUSG00000079436, ENSMUSG00000022371, ENSMUSG00000026141, ENSMUSG00000068794, ENSMUSG00000067158, ENSMUSG00000026147, ENSMUSG00000009545	277	66	5973	2.613718411552347	0.9998874053207306	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0844~Vision	6	0.6362672322375398	0.03252480361435686	ENSMUSG00000025900, ENSMUSG00000021007, ENSMUSG00000026609, ENSMUSG00000060890, ENSMUSG00000024575, ENSMUSG00000028125	356	38	7474	3.3149024246008283	0.976160240086575	0.6125504680703875	0.6125504680703875
UP_KW_MOLECULAR_FUNCTION	KW-0505~Motor protein	11	1.166489925768823	0.043880939666200214	ENSMUSG00000079553, ENSMUSG00000019027, ENSMUSG00000036768, ENSMUSG00000041144, ENSMUSG00000047369, ENSMUSG00000039057, ENSMUSG00000101337, ENSMUSG00000018417, ENSMUSG00000033590, ENSMUSG00000032489, ENSMUSG00000038844	395	105	7635	2.0249547920433995	0.9711300452702336	0.43880939666200214	0.42235404428717704
KEGG_PATHWAY	mmu00520:Amino sugar and nucleotide sugar metabolism	6	0.6362672322375398	0.04661804075533489	ENSMUSG00000034744, ENSMUSG00000020080, ENSMUSG00000028671, ENSMUSG00000036820, ENSMUSG00000020363, ENSMUSG00000062778	277	43	5973	3.008815380740492	0.9999986431211773	1.0	1.0
