Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0346~Stress response	16	1.9488428745432398	6.411221630762576E-6	ENSMUSG00000005483, ENSMUSG00000004328, ENSMUSG00000020484, ENSMUSG00000004951, ENSMUSG00000022136, ENSMUSG00000020048, ENSMUSG00000025408, ENSMUSG00000019970, ENSMUSG00000025757, ENSMUSG00000056708, ENSMUSG00000091971, ENSMUSG00000090877, ENSMUSG00000053137, ENSMUSG00000073676, ENSMUSG00000070436, ENSMUSG00000032115	411	71	7335	4.021795003598232	6.793608012566343E-4	6.795894928608331E-4	6.603558279685453E-4
UP_KW_MOLECULAR_FUNCTION	KW-0358~Heparin-binding	13	1.5834348355663823	4.925814270967908E-4	ENSMUSG00000030530, ENSMUSG00000028195, ENSMUSG00000032343, ENSMUSG00000058897, ENSMUSG00000004897, ENSMUSG00000002985, ENSMUSG00000026249, ENSMUSG00000017344, ENSMUSG00000035270, ENSMUSG00000019880, ENSMUSG00000045287, ENSMUSG00000031565, ENSMUSG00000019997	482	63	7604	3.2553513798327076	0.03864951014472362	0.030940456288771397	0.029030551579587976
UP_KW_MOLECULAR_FUNCTION	KW-0675~Receptor	65	7.917174177831912	0.0015279237673467357	ENSMUSG00000032360, ENSMUSG00000059003, ENSMUSG00000025475, ENSMUSG00000026768, ENSMUSG00000026888, ENSMUSG00000026204, ENSMUSG00000024621, ENSMUSG00000049649, ENSMUSG00000047415, ENSMUSG00000042286, ENSMUSG00000035270, ENSMUSG00000028909, ENSMUSG00000090210, ENSMUSG00000039115, ENSMUSG00000038668, ENSMUSG00000037613, ENSMUSG00000026271, ENSMUSG00000032278, ENSMUSG00000031385, ENSMUSG00000052387, ENSMUSG00000055254, ENSMUSG00000026235, ENSMUSG00000022790, ENSMUSG00000044017, ENSMUSG00000017491, ENSMUSG00000032238, ENSMUSG00000052229, ENSMUSG00000030287, ENSMUSG00000048490, ENSMUSG00000032343, ENSMUSG00000036826, ENSMUSG00000036902, ENSMUSG00000015846, ENSMUSG00000055540, ENSMUSG00000059146, ENSMUSG00000042429, ENSMUSG00000060534, ENSMUSG00000045613, ENSMUSG00000020524, ENSMUSG00000038764, ENSMUSG00000037992, ENSMUSG00000036103, ENSMUSG00000053004, ENSMUSG00000045092, ENSMUSG00000019889, ENSMUSG00000034997, ENSMUSG00000056962, ENSMUSG00000032012, ENSMUSG00000049791, ENSMUSG00000051111, ENSMUSG00000028876, ENSMUSG00000023068, ENSMUSG00000049313, ENSMUSG00000049511, ENSMUSG00000005533, ENSMUSG00000000440, ENSMUSG00000020038, ENSMUSG00000023348, ENSMUSG00000027748, ENSMUSG00000045287, ENSMUSG00000022935, ENSMUSG00000022817, ENSMUSG00000032537, ENSMUSG00000031565, ENSMUSG00000015852	482	702	7604	1.4607345935146765	0.11514136275464137	0.030940456288771397	0.029030551579587976
UP_KW_BIOLOGICAL_PROCESS	KW-0090~Biological rhythms	18	2.192448233861145	0.0018250992943695875	ENSMUSG00000048490, ENSMUSG00000073130, ENSMUSG00000024042, ENSMUSG00000020580, ENSMUSG00000023087, ENSMUSG00000002983, ENSMUSG00000042745, ENSMUSG00000048895, ENSMUSG00000063889, ENSMUSG00000000440, ENSMUSG00000004455, ENSMUSG00000022433, ENSMUSG00000003949, ENSMUSG00000020038, ENSMUSG00000053004, ENSMUSG00000036432, ENSMUSG00000032238, ENSMUSG00000030103	411	139	7335	2.311085438218768	0.17604328651960333	0.03869210504063525	0.037597045464013504
UP_KW_BIOLOGICAL_PROCESS	KW-0037~Angiogenesis	15	1.8270401948842874	0.002195420406635683	ENSMUSG00000057315, ENSMUSG00000026473, ENSMUSG00000004328, ENSMUSG00000023068, ENSMUSG00000063531, ENSMUSG00000020484, ENSMUSG00000046768, ENSMUSG00000022469, ENSMUSG00000041187, ENSMUSG00000026814, ENSMUSG00000022607, ENSMUSG00000032625, ENSMUSG00000045092, ENSMUSG00000031502, ENSMUSG00000050965	411	106	7335	2.52547858421705	0.2078229710593421	0.0387857605172304	0.03768805031391256
UP_KW_MOLECULAR_FUNCTION	KW-0904~Protein phosphatase	17	2.0706455542021924	0.0032216978676074997	ENSMUSG00000031530, ENSMUSG00000030002, ENSMUSG00000034613, ENSMUSG00000055322, ENSMUSG00000059895, ENSMUSG00000027540, ENSMUSG00000032020, ENSMUSG00000004455, ENSMUSG00000025314, ENSMUSG00000027843, ENSMUSG00000047205, ENSMUSG00000019960, ENSMUSG00000028909, ENSMUSG00000046442, ENSMUSG00000038764, ENSMUSG00000019889, ENSMUSG00000017897	482	119	7604	2.2537048014226437	0.22752211369611497	0.05219150545524149	0.048969807587633994
UP_KW_MOLECULAR_FUNCTION	KW-0343~GTPase activation	18	2.192448233861145	0.014377335481558779	ENSMUSG00000026360, ENSMUSG00000057315, ENSMUSG00000032870, ENSMUSG00000030583, ENSMUSG00000049076, ENSMUSG00000029174, ENSMUSG00000033083, ENSMUSG00000042216, ENSMUSG00000042700, ENSMUSG00000022799, ENSMUSG00000036273, ENSMUSG00000062232, ENSMUSG00000118193, ENSMUSG00000016128, ENSMUSG00000036452, ENSMUSG00000052632, ENSMUSG00000036246, ENSMUSG00000039813, ENSMUSG00000030047	482	151	7604	1.8805748674122724	0.6860543084599084	0.14557052175078264	0.1365846870748084
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	100	12.18026796589525	0.027185780247006068	ENSMUSG00000029673, ENSMUSG00000038705, ENSMUSG00000059401, ENSMUSG00000055320, ENSMUSG00000004897, ENSMUSG00000032280, ENSMUSG00000008976, ENSMUSG00000043456, ENSMUSG00000026204, ENSMUSG00000038384, ENSMUSG00000024826, ENSMUSG00000017724, ENSMUSG00000031586, ENSMUSG00000063632, ENSMUSG00000045903, ENSMUSG00000056708, ENSMUSG00000035021, ENSMUSG00000031627, ENSMUSG00000048490, ENSMUSG00000054893, ENSMUSG00000030087, ENSMUSG00000042745, ENSMUSG00000110444, ENSMUSG00000021010, ENSMUSG00000063889, ENSMUSG00000021134, ENSMUSG00000003949, ENSMUSG00000024921, ENSMUSG00000022508, ENSMUSG00000038648, ENSMUSG00000029641, ENSMUSG00000033740, ENSMUSG00000056962, ENSMUSG00000003032, ENSMUSG00000002983, ENSMUSG00000094483, ENSMUSG00000028675, ENSMUSG00000009013, ENSMUSG00000020397, ENSMUSG00000000440, ENSMUSG00000021366, ENSMUSG00000049516, ENSMUSG00000020038, ENSMUSG00000070576, ENSMUSG00000072872, ENSMUSG00000056608, ENSMUSG00000036698, ENSMUSG00000035877, ENSMUSG00000030584, ENSMUSG00000079056, ENSMUSG00000027210, ENSMUSG00000024985, ENSMUSG00000039153, ENSMUSG00000020423, ENSMUSG00000015501, ENSMUSG00000019947, ENSMUSG00000035356, ENSMUSG00000035632, ENSMUSG00000037138, ENSMUSG00000032402, ENSMUSG00000030103, ENSMUSG00000079165, ENSMUSG00000006362, ENSMUSG00000025025, ENSMUSG00000002325, ENSMUSG00000024176, ENSMUSG00000050919, ENSMUSG00000025782, ENSMUSG00000061894, ENSMUSG00000021221, ENSMUSG00000079681, ENSMUSG00000017491, ENSMUSG00000053477, ENSMUSG00000032238, ENSMUSG00000017897, ENSMUSG00000003184, ENSMUSG00000015846, ENSMUSG00000020484, ENSMUSG00000024565, ENSMUSG00000040363, ENSMUSG00000022708, ENSMUSG00000037992, ENSMUSG00000071637, ENSMUSG00000071757, ENSMUSG00000037868, ENSMUSG00000018849, ENSMUSG00000021040, ENSMUSG00000025001, ENSMUSG00000004328, ENSMUSG00000022895, ENSMUSG00000023348, ENSMUSG00000025408, ENSMUSG00000020358, ENSMUSG00000038393, ENSMUSG00000090125, ENSMUSG00000031925, ENSMUSG00000039089, ENSMUSG00000036098, ENSMUSG00000051510, ENSMUSG00000053137	411	1486	7335	1.200990264365219	0.9461518890810589	0.4116703865975204	0.40001933792023214
KEGG_PATHWAY	mmu04392:Hippo signaling pathway - multiple species	5	0.6090133982947624	0.03519704537479007	ENSMUSG00000018849, ENSMUSG00000048285, ENSMUSG00000055320, ENSMUSG00000022433, ENSMUSG00000030774	353	21	5795	3.908673951166869	0.9999645638371263	0.3235857397359732	0.30769029988929386
UP_KW_BIOLOGICAL_PROCESS	KW-0276~Fatty acid metabolism	13	1.5834348355663823	0.03738720301961126	ENSMUSG00000028670, ENSMUSG00000032487, ENSMUSG00000033174, ENSMUSG00000032281, ENSMUSG00000015090, ENSMUSG00000071072, ENSMUSG00000028944, ENSMUSG00000028607, ENSMUSG00000028937, ENSMUSG00000041193, ENSMUSG00000006390, ENSMUSG00000038205, ENSMUSG00000034853	411	121	7335	1.9174156964468843	0.9823853963821847	0.49538044000984915	0.48136023887749496
