Gene_ID	Gene_Name
ENSMUSG00000022602	Arc
ENSMUSG00000037868	Egr2
ENSMUSG00000034765	Dusp5
ENSMUSG00000023067	Cdkn1a
ENSMUSG00000021250	Fos
ENSMUSG00000105843	Gm19439
ENSMUSG00000030413	Pglyrp1
ENSMUSG00000023034	Nr4a1
ENSMUSG00000023272	Creld2
ENSMUSG00000041324	Inhba
ENSMUSG00000019970	Sgk1
ENSMUSG00000023232	Serinc2
ENSMUSG00000002831	Plin4
ENSMUSG00000038418	Egr1
ENSMUSG00000022769	Sdf2l1
ENSMUSG00000032575	Manf
ENSMUSG00000003545	Fosb
ENSMUSG00000049796	Crh
ENSMUSG00000032265	Tent5a
ENSMUSG00000038894	Irs2
ENSMUSG00000021203	Otub2
ENSMUSG00000090877	Hspa1b
ENSMUSG00000024042	Sik1
ENSMUSG00000034738	Nostrin
ENSMUSG00000021587	Pcsk1
ENSMUSG00000060862	Zbtb40
ENSMUSG00000019960	Dusp6
ENSMUSG00000001774	Chordc1
ENSMUSG00000036052	Dnajb5
ENSMUSG00000033730	Egr3
ENSMUSG00000056749	Nfil3
ENSMUSG00000081058	H3c15
ENSMUSG00000036151	Tm6sf2
ENSMUSG00000050423	Ppp1r3g
ENSMUSG00000033316	Galnt9
ENSMUSG00000026773	Pfkfb3
ENSMUSG00000022508	Bcl6
ENSMUSG00000037428	Vgf
ENSMUSG00000028655	Mfsd2a
ENSMUSG00000042608	Stk40
ENSMUSG00000024190	Dusp1
ENSMUSG00000067578	Cbln4
ENSMUSG00000051335	Gfod1
ENSMUSG00000036390	Gadd45a
ENSMUSG00000035126	Wdr78
ENSMUSG00000048489	Depp1
ENSMUSG00000020601	Trib2
ENSMUSG00000020614	Fam20a
ENSMUSG00000030103	Bhlhe40
ENSMUSG00000001768	Rin2
ENSMUSG00000074874	Ctla2b
ENSMUSG00000037465	Klf10
ENSMUSG00000040721	Zfhx2
ENSMUSG00000049649	Gpr3
ENSMUSG00000029641	Rasl11a
ENSMUSG00000053070	Cfap300
ENSMUSG00000008845	Cd163
ENSMUSG00000026864	Hspa5
ENSMUSG00000050534	Htr5b
ENSMUSG00000055148	Klf2
ENSMUSG00000040055	Gjb6
ENSMUSG00000004460	Dnajb11
ENSMUSG00000038059	Smim3
ENSMUSG00000014782	Plekhg4
ENSMUSG00000019997	Ccn2
ENSMUSG00000041193	Pla2g5
ENSMUSG00000060639	H4c9
ENSMUSG00000033033	Calhm2
ENSMUSG00000055407	Map6
ENSMUSG00000032807	Alox12b
ENSMUSG00000032115	Hyou1
ENSMUSG00000037541	Shank2
ENSMUSG00000006057	Atp5g1
ENSMUSG00000052837	Junb
ENSMUSG00000016179	Camk1g
ENSMUSG00000029695	Aass
ENSMUSG00000020893	Per1
