Gene_ID	Gene_Name
ENSMUSG00000062175	Tgif2
ENSMUSG00000071253	Slc25a16
ENSMUSG00000057113	Npm1
ENSMUSG00000085156	Snhg15
ENSMUSG00000034424	Gcsh
ENSMUSG00000008540	Mgst1
ENSMUSG00000030056	Isy1
ENSMUSG00000049470	Aff4
ENSMUSG00000028378	Ptgr1
ENSMUSG00000028717	Tal1
ENSMUSG00000040940	Arhgef1
ENSMUSG00000034063	4930590J08Rik
ENSMUSG00000049676	Catsperg1
ENSMUSG00000037845	Fdxacb1
ENSMUSG00000063296	Tmem117
ENSMUSG00000004347	Pde1c
ENSMUSG00000036792	Mbd5
ENSMUSG00000004952	Rasa4
ENSMUSG00000032059	Alg9
ENSMUSG00000098702	1500015A07Rik
ENSMUSG00000043207	Zmpste24
ENSMUSG00000089736	Tgfbr3l
ENSMUSG00000068859	Sp9
ENSMUSG00000030365	Clec2i
ENSMUSG00000015335	Zdhhc12
ENSMUSG00000030484	Lypd5
ENSMUSG00000028098	Rnf115
ENSMUSG00000039323	Igfbp2
ENSMUSG00000020802	Ube2o
ENSMUSG00000001700	Gramd3
ENSMUSG00000074647	Fam83c
ENSMUSG00000003665	Has1
ENSMUSG00000029551	Psmg3
ENSMUSG00000094443	Sgo2b
ENSMUSG00000036499	Eea1
ENSMUSG00000020916	Krt36
ENSMUSG00000050721	Plekho2
ENSMUSG00000018707	Dync1h1
ENSMUSG00000046410	Kcnk6
ENSMUSG00000063275	Hacd1
ENSMUSG00000024038	Ndufv3
ENSMUSG00000058807	Olfr331
ENSMUSG00000037973	Itprid1
ENSMUSG00000029821	Gsdme
ENSMUSG00000031250	Tnmd
ENSMUSG00000061808	Ttr
ENSMUSG00000057982	Zfp809
ENSMUSG00000030509	Asb7
ENSMUSG00000029675	Eln
ENSMUSG00000025995	Wdr75
ENSMUSG00000002808	Epdr1
ENSMUSG00000046567	4930430F08Rik
ENSMUSG00000033530	Ttc7b
ENSMUSG00000022370	Mrpl13
ENSMUSG00000036957	Lrfn3
ENSMUSG00000036932	Aifm1
ENSMUSG00000093080	Mir3060
ENSMUSG00000093293	Mir3095
ENSMUSG00000022847	Thpo
ENSMUSG00000039269	2300002M23Rik
ENSMUSG00000055707	Klhl26
ENSMUSG00000030930	Chst15
ENSMUSG00000029231	Pdgfra
ENSMUSG00000020332	Meikin
ENSMUSG00000070427	Il18bp
ENSMUSG00000001520	Nrip2
ENSMUSG00000022914	Brwd1
ENSMUSG00000071072	Ptges3
ENSMUSG00000037070	Rbmxl1
ENSMUSG00000097023	Mir9-3hg
ENSMUSG00000049687	Pheta2
ENSMUSG00000032591	Mst1
ENSMUSG00000045007	Tubg2
ENSMUSG00000020372	Rack1
ENSMUSG00000017747	Ghdc
ENSMUSG00000025351	Cd63
ENSMUSG00000039473	Ubn1
ENSMUSG00000020776	Fbf1
ENSMUSG00000036180	Gatad2a
ENSMUSG00000004270	Lpcat3
ENSMUSG00000090386	Mir99ahg
ENSMUSG00000037742	Eef1a1
ENSMUSG00000025860	Xiap
ENSMUSG00000035754	Wdr18
ENSMUSG00000024515	Smad4
ENSMUSG00000051169	Rpusd3
ENSMUSG00000045008	9030612E09Rik
ENSMUSG00000067285	Gm16223
ENSMUSG00000045176	Borcs6
ENSMUSG00000044534	Ackr2
ENSMUSG00000071659	Hnrnpul2
ENSMUSG00000052384	Nrros
ENSMUSG00000020451	Limk2
ENSMUSG00000030982	Vps35l
ENSMUSG00000042863	Olfr1026
ENSMUSG00000039410	Prdm16
ENSMUSG00000100603	1700129L04Rik
